"full_name","team","age","position","goals_overall","assists_overall"
"Do Duy Manh","Vietnam",27,"Midfielder",0,0
"Ezequiel Ham","Syria",30,"Midfielder",0,0
"Ibrahim Hesar","Syria",30,"Forward",0,1
"Jalil Juan José Elías","Syria",28,"Midfielder",0,0
"Aiden O'Neill","Australia",26,"Midfielder",0,0
"Aziz Eraltay Behich","Australia",33,"Defender",0,0
"Bruno Fornaroli Mezza","Australia",36,"Forward",0,0
"Cameron Burgess","Australia",28,"Defender",0,0
"Connor Metcalfe","Australia",24,"Forward",0,0
"Craig Goodwin","Australia",32,"Forward",2,1
"Jackson Irvine","Australia",31,"Midfielder",2,0
"Joe Anthony Gauci","Australia",24,"Goalkeeper",0,0
"Jordan Bos","Australia",21,"Defender",1,0
"Kenau Baccus","Australia",26,"Midfielder",0,0
"Kusini Boja Yengi","Australia",25,"Forward",0,0
"Kye Rowles","Australia",26,"Defender",0,0
"Lawrence Andrew Kingsley Thomas","Australia",32,"Goalkeeper",0,0
"Lewis Miller","Australia",23,"Defender",0,0
"Marco Tilio","Australia",22,"Forward",0,0
"Mathew Ryan","Australia",32,"Goalkeeper",0,0
"Mitchell Duke","Australia",33,"Forward",0,0
"Nathaniel Atkinson","Australia",25,"Defender",0,1
"Riley McGree","Australia",25,"Midfielder",0,1
"Samuel Silvera","Australia",23,"Forward",0,0
"Thomas Deng","Australia",27,"Defender",0,0
"Yehia Hendi","Lebanon",25,"Midfielder",0,0
"Abdulkarim Fardan","Bahrain",32,"Goalkeeper",0,0
"Abdulla Yusuf Helal","Bahrain",31,"Forward",1,0
"Ali Hasan Saeed Isa","Bahrain",27,"Midfielder",0,0
"Ali Madan","Bahrain",28,"Midfielder",1,1
"Ebrahim Lutfalla","Bahrain",31,"Goalkeeper",0,0
"Hussain Ali Al Eker","Bahrain",22,"Midfielder",0,0
"Ibrahim Al Khatal","Bahrain",23,"Midfielder",0,0
"Ibrahim Al Wali Moustapha","Bahrain",27,"Midfielder",0,0
"Jasim Al-Salama","Bahrain",26,"Midfielder",0,0
"Jassim Al Shaikh","Bahrain",28,"Forward",0,0
"Kamil Hasan Abdulla Ahmed Hasan Al Aswad","Bahrain",30,"Forward",0,0
"Mahdi Faisal Al Humaidan","Bahrain",31,"Midfielder",0,0
"Mohamed Adel Mohamed Ali Hasan","Bahrain",27,"Defender",0,0
"Mohamed Yusuf Abdulla Al Hardan Ahmed Hasan","Bahrain",26,"Midfielder",0,0
"Salem Husain Ahmed Abdulla Salem","Bahrain",23,"Forward",0,0
"Sayed Mohamed Jaafar Sabt Abbas","Bahrain",38,"Goalkeeper",0,0
"Waleed Mohamed Abdulla Ali Al Hayam","Bahrain",33,"Defender",0,0
"Dion Cools","Malaysia",28,"Defender",0,0
"Caio Canedo Corrêa","UAE",33,"Forward",0,0
"Endrick dos Santos Parafita","Malaysia",29,"Midfielder",0,0
"Everton Camargo","Hong_Kong",33,"Forward",0,1
"Fabio Virginio de Lima","UAE",31,"Midfielder",0,0
"Lucas Michel Mendes","Qatar",34,"Defender",0,0
