"full_name","Current.Club","position","age_group","game_impact"
"Do Duy Manh","Vietnam","Midfielder","26-30",0
"Ezequiel Ham","Syria","Midfielder","26-30",0
"Ibrahim Hesar","Syria","Forward","26-30",1
"Jalil Juan José Elías","Syria","Midfielder","26-30",0
"Aiden O'Neill","Australia","Midfielder","21-25",0
"Aziz Eraltay Behich","Australia","Defender","31-35",0
"Bruno Fornaroli Mezza","Australia","Forward","31-35",0
"Cameron Burgess","Australia","Defender","26-30",0
"Connor Metcalfe","Australia","Forward","21-25",0
"Craig Goodwin","Australia","Forward","31-35",3
"Jackson Irvine","Australia","Midfielder","26-30",2
"Joe Anthony Gauci","Australia","Goalkeeper","21-25",0
"Jordan Bos","Australia","Defender","16-20",1
"Kenau Baccus","Australia","Midfielder","21-25",0
"Kusini Boja Yengi","Australia","Forward","21-25",0
"Kye Rowles","Australia","Defender","21-25",0
"Lawrence Andrew Kingsley Thomas","Australia","Goalkeeper","31-35",0
"Lewis Miller","Australia","Defender","21-25",0
"Marco Tilio","Australia","Forward","21-25",0
"Mathew Ryan","Australia","Goalkeeper","31-35",0
"Mitchell Duke","Australia","Forward","31-35",0
"Nathaniel Atkinson","Australia","Defender","21-25",1
"Riley McGree","Australia","Midfielder","21-25",1
"Samuel Silvera","Australia","Forward","21-25",0
"Thomas Deng","Australia","Defender","26-30",0
"Yehia Hendi","Lebanon","Midfielder","21-25",0
"Abdulkarim Fardan","Bahrain","Goalkeeper","31-35",0
"Abdulla Yusuf Helal","Bahrain","Forward","26-30",1
"Ali Hasan Saeed Isa","Bahrain","Midfielder","26-30",0
"Ali Madan","Bahrain","Midfielder","26-30",2
"Ebrahim Lutfalla","Bahrain","Goalkeeper","26-30",0
"Hussain Ali Al Eker","Bahrain","Midfielder","21-25",0
"Ibrahim Al Khatal","Bahrain","Midfielder","21-25",0
"Ibrahim Al Wali Moustapha","Bahrain","Midfielder","26-30",0
"Jasim Al-Salama","Bahrain","Midfielder","21-25",0
"Jassim Al Shaikh","Bahrain","Forward","26-30",0
"Kamil Hasan Abdulla Ahmed Hasan Al Aswad","Bahrain","Forward","26-30",0
"Mahdi Faisal Al Humaidan","Bahrain","Midfielder","26-30",0
"Mohamed Adel Mohamed Ali Hasan","Bahrain","Defender","26-30",0
"Mohamed Yusuf Abdulla Al Hardan Ahmed Hasan","Bahrain","Midfielder","21-25",0
"Salem Husain Ahmed Abdulla Salem","Bahrain","Forward","21-25",0
"Sayed Mohamed Jaafar Sabt Abbas","Bahrain","Goalkeeper","36-40",0
"Waleed Mohamed Abdulla Ali Al Hayam","Bahrain","Defender","31-35",0
"Dion Cools","Malaysia","Defender","26-30",0
"Caio Canedo Corrêa","UAE","Forward","31-35",0
"Endrick dos Santos Parafita","Malaysia","Midfielder","26-30",0
"Everton Camargo","Hong Kong","Forward","31-35",1
"Fabio Virginio de Lima","UAE","Midfielder","26-30",0
"Lucas Michel Mendes","Qatar","Defender","31-35",0
"Paulo Josue Sturmer dos Reis","Malaysia","Midfielder","31-35",1
"Stefan Figueiredo Pereira","Hong Kong","Forward","31-35",0
"Walter Soares Belitardo Junior","Hong Kong","Defender","31-35",0
"Gabriel Bitar","Lebanon","Forward","21-25",0
"La","Malaysia","Defender","31-35",0
"Binbin Liu","China","Midfielder","26-30",0
"Chenjie Zhu","China","Defender","21-25",0
"Dalei Wang","China","Goalkeeper","31-35",0
"Dianzuo Liu","China","Goalkeeper","31-35",0
"Haofeng Xu","China","Defender","21-25",0
"Junling Yan","China","Goalkeeper","31-35",0
"Lei Li","China","Midfielder","31-35",0
"Lei Wu","China","Midfielder","31-35",0
"Liangming Lin","China","Forward","26-30",0
"Linpeng Zhang","China","Defender","31-35",0
"Long Tan","China","Forward","31-35",0
"Pengfei Xie","China","Midfielder","26-30",0
"Pu Chen","China","Forward","26-30",0
"Qiuming Wang","China","Midfielder","26-30",0
"Shangyuan Wang","China","Midfielder","26-30",0
"Shaocong Wu","China","Defender","21-25",0
"Shenglong Jiang","China","Defender","21-25",0
"Shihao Wei","China","Forward","26-30",0
"Tianyi Gao","China","Midfielder","21-25",0
"Xi Wu","China","Midfielder","31-35",0
"Xin Xu","China","Midfielder","26-30",0
"Yang Liu","China","Defender","26-30",0
"Yuning Zhang","China","Forward","26-30",0
"Pablo Sabbag","Syria","Forward","26-30",0
"Romel Morales Ramírez","Malaysia","Midfielder","21-25",1
"Filip Nguyen","Vietnam","Goalkeeper","26-30",0
"Frans Dhia Putros","Iraq","Defender","26-30",0
"Abdalla Ramadan","UAE","Midfielder","21-25",1
"Yahia Nader","UAE","Midfielder","21-25",0
"Ali Al-Hamadi","Iraq","Forward","21-25",0
"Mukhtar Ali","Saudi Arabia","Midfielder","21-25",1
"Stuart John Wilkin","Malaysia","Midfielder","21-25",0
"Tyias Browning","China","Defender","26-30",0
"Ahmad Allée","Iraq","Midfielder","26-30",0
"Mohamadou Sumareh","Malaysia","Midfielder","26-30",0
"Alexander Mischenko","Kyrgyzstan","Midfielder","26-30",0
"Kai Merk","Kyrgyzstan","Forward","21-25",0
"Youssef Amyn","Iraq","Forward","16-20",0
"Joel Kojo","Kyrgyzstan","Forward","21-25",1
"Abdul Rahman Oues","Syria","Defender","21-25",0
"Chun Ming Wu","Hong Kong","Defender","21-25",0
"Hei Yin Chang","Hong Kong","Midfielder","21-25",0
"Helio Jose De Souza Goncalves","Hong Kong","Defender","36-40",0
"Hin Ting Lam","Hong Kong","Midfielder","21-25",0
"Hung Fai Yapp","Hong Kong","Goalkeeper","31-35",0
"Jesse Joy Yin Yu","Hong Kong","Midfielder","21-25",0
"Ka Wing Tse","Hong Kong","Goalkeeper","21-25",0
"Ming Him Sun","Hong Kong","Forward","21-25",0
"Ngai Hoi Li","Hong Kong","Defender","26-30",0
"Oliver Gerbig","Hong Kong","Midfielder","21-25",0
"Pui Hin Poon","Hong Kong","Midfielder","21-25",0
"Sean Ka Keung Tse","Hong Kong","Midfielder","31-35",0
"Shinichi Chan","Hong Kong","Forward","16-20",0
"Siu Kwan Chan","Hong Kong","Midfielder","31-35",1
"Tan Chun Lok","Hong Kong","Midfielder","26-30",0
"Tsun Dai","China","Midfielder","21-25",0
"Tsz Chun Law","Hong Kong","Defender","26-30",0
"Tze Nam Yue","Hong Kong","Midfielder","21-25",0
"Vasudeva Das Lilley Nunez","Hong Kong","Defender","26-30",0
"Wai Him Ng","Hong Kong","Goalkeeper","21-25",0
"Wai Wong","Hong Kong","Midfielder","26-30",0
"Ying Zhi Ju","Hong Kong","Midfielder","36-40",0
"Akash Mishra","India","Defender","21-25",0
"Amrinder Singh","India","Goalkeeper","26-30",0
"Anirudh Thapa","India","Midfielder","21-25",0
"Brandon Fernandes","India","Midfielder","26-30",0
"Deepak Tangri","India","Defender","21-25",0
"Gurpreet Singh Sandhu","India","Goalkeeper","31-35",0
"Lalengmawia Lalengmawia","India","Midfielder","21-25",0
"Lallianzuala Chhangte","India","Forward","21-25",0
"Liston Colaco","India","Forward","21-25",0
"Manvir Singh","India","Forward","26-30",0
"Mehtab Singh","India","Defender","21-25",0
"Naorem Mahesh Singh","India","Forward","21-25",0
"Nikhil Poojari","India","Forward","26-30",0
"Pritam Kotal","India","Defender","26-30",0
"Rahul Bheke","India","Defender","31-35",0
"Rahul Kannoly Praveen","India","Midfielder","21-25",0
"Sandesh Jhingan","India","Defender","26-30",0
"Subashish Bose","India","Defender","26-30",0
"Sunil Chhetri","India","Forward","36-40",0
"Suresh Singh Wangjam","India","Midfielder","21-25",0
"Udanta Kumam Singh","India","Forward","26-30",0
"Vikram Pratap Singh","India","Forward","21-25",0
"Vishal Kaith","India","Goalkeeper","26-30",0
"Adam Alis Setyano","Indonesia","Midfielder","26-30",0
"Asnawi Mangkualam Bahar","Indonesia","Midfielder","21-25",1
"Dendi Sulistyawan","Indonesia","Forward","26-30",0
"Edo Febriansyah","Indonesia","Forward","26-30",0
"Egy Maulana Vikri","Indonesia","Midfielder","21-25",0
"Ernando Ari Sutaryadi","Indonesia","Goalkeeper","21-25",0
"Marselino Ferdinan","Indonesia","Forward","16-20",1
"Muhammad Dimas Drajad","Indonesia","Forward","26-30",0
"Muhammad Riyandi","Indonesia","Goalkeeper","21-25",0
"Nadeo Argawinata","Indonesia","Goalkeeper","26-30",0
"Pratama Arhan","Indonesia","Defender","21-25",0
"Ricky Kambuaya","Indonesia","Midfielder","26-30",0
"Rizky Ridho Ramadhani","Indonesia","Defender","21-25",0
"Wahyu Prasetyo","Indonesia","Defender","21-25",0
"Witan Sulaeman","Indonesia","Midfielder","21-25",0
"Ali Gholizadeh","Iran","Midfielder","26-30",0
"Alireza Jahanbakhsh","Iran","Forward","26-30",3
